fecha,macrosector_id,macrosector,ise_var_anual,ipc_var_anual,tpm,var_empleo_anual,ipp_var_anual,trm,trm_var_anual,costo_var,trm_ajustado,ise_norm,emp_norm,costo_norm,tpm_norm,trm_norm,icds,estado,estado_nombre,vulnerabilidad
2015-01,M01,Agropecuario,2.9601,3.82,4.5,,,2397.2581,,3.82,,0.5357,,0.6786,0.7857,,0.7011,S2,Crecimiento,Moderada
2015-02,M01,Agropecuario,2.2221,4.36,4.5,,,2420.6725,,4.36,,0.4464,,0.6339,0.7857,,0.6683,S2,Crecimiento,Moderada
2015-03,M01,Agropecuario,3.7479,4.56,4.5,,,2585.3623,,4.56,,0.6071,,0.5804,0.7857,,0.6735,S2,Crecimiento,Moderada
2015-04,M01,Agropecuario,4.1047,4.64,4.5,,,2505.248,,4.64,,0.6339,,0.5625,0.7857,,0.6707,S2,Crecimiento,Moderada
2015-05,M01,Agropecuario,1.4892,4.41,4.5,,,2437.5352,,4.41,,0.3304,,0.625,0.7857,,0.6454,S2,Crecimiento,Moderada
2015-06,M01,Agropecuario,3.7214,4.42,4.5,,,2562.4777,,4.42,,0.5982,,0.6161,0.7857,,0.6864,S2,Crecimiento,Moderada
2015-07,M01,Agropecuario,5.7183,4.46,4.5,,,2732.0358,,4.46,,0.7411,,0.5982,0.7857,,0.7029,S2,Crecimiento,Moderada
2015-08,M01,Agropecuario,8.1115,4.74,4.5,,,3012.5874,,4.74,,0.8571,,0.5536,0.7857,,0.7043,S2,Crecimiento,Moderada
2015-09,M01,Agropecuario,7.1254,5.35,4.525,,,3066.408,,5.35,,0.8036,,0.5268,0.6964,,0.646,S2,Crecimiento,Moderada
2015-10,M01,Agropecuario,3.3517,5.89,4.75,,,2929.4723,,5.89,,0.5804,,0.4911,0.6786,,0.5869,S3,Estabilidad,Moderada
2015-11,M01,Agropecuario,4.8077,6.39,5.225,,,3001.3763,,6.39,,0.6786,,0.4821,0.6429,,0.5842,S3,Estabilidad,Moderada
2015-12,M01,Agropecuario,4.4097,6.77,5.5887,,,3244.2016,,6.77,,0.6429,,0.4643,0.6071,,0.5556,S3,Estabilidad,Moderada
2016-01,M01,Agropecuario,-1.907,7.45,5.75,-3.2278,18.0676,3270.1952,36.414,18.0676,29.131200000000003,0.1339,0.15,0.1786,0.5982,0.98,0.36,S4,Decrecimiento,Media
2016-02,M01,Agropecuario,1.7205,7.59,6.069,-1.8321,17.9049,3354.9569,38.5961,17.9049,30.87688,0.3661,0.25,0.1875,0.5625,0.99,0.3953,S4,Decrecimiento,Media
2016-03,M01,Agropecuario,3.0548,7.98,6.3306,-1.3783,14.7103,3128.789,21.0194,14.7103,16.815520000000003,0.5446,0.31,0.2411,0.5446,0.92,0.4348,S3,Estabilidad,Moderada
2016-04,M01,Agropecuario,-1.1714,7.93,6.5,5.7789,18.2099,2997.727,19.6579,18.2099,15.726320000000001,0.1875,0.83,0.1696,0.5357,0.89,0.4255,S3,Estabilidad,Moderada
2016-05,M01,Agropecuario,-1.3439,8.2,6.9919,0.3686,23.0505,2993.5084,22.8088,23.0505,18.247040000000002,0.1518,0.46,0.1429,0.5179,0.94,0.3604,S4,Decrecimiento,Media
2016-06,M01,Agropecuario,2.0009,8.6,7.3167,2.9224,24.5214,2992.8587,16.7955,24.5214,13.4364,0.4286,0.66,0.125,0.4911,0.87,0.4047,S3,Estabilidad,Moderada
2016-07,M01,Agropecuario,-11.5046,8.97,7.5,3.029,24.4392,2960.9997,8.3807,24.4392,6.70456,0.0,0.69,0.1339,0.4732,0.65,0.3352,S4,Decrecimiento,Media
2016-08,M01,Agropecuario,9.5996,8.1,7.75,6.3994,12.651,2952.7668,-1.9857,12.651,-1.5885600000000002,0.9286,0.87,0.3036,0.4375,0.34,0.5109,S3,Estabilidad,Moderada
2016-09,M01,Agropecuario,6.1549,7.27,7.75,-3.6934,8.8446,2924.2653,-4.6355,8.8446,-3.7084000000000006,0.7768,0.12,0.3929,0.4375,0.24,0.4171,S3,Estabilidad,Moderada
2016-10,M01,Agropecuario,5.0385,6.48,7.75,-2.367,5.8562,2929.3887,-0.0029,5.8562,-0.00232,0.7054,0.24,0.5,0.4375,0.43,0.4684,S3,Estabilidad,Moderada
2016-11,M01,Agropecuario,13.8781,5.96,7.75,-1.7686,4.5219,3110.2587,3.6277,4.5219,2.9021600000000003,0.9821,0.28,0.5893,0.4375,0.5,0.5442,S3,Estabilidad,Moderada
2016-12,M01,Agropecuario,7.5819,5.75,7.6452,-3.2151,1.0472,3009.8639,-7.2233,1.0472,-5.77864,0.8393,0.16,0.7857,0.4464,0.18,0.5597,S3,Estabilidad,Moderada
2017-01,M01,Agropecuario,10.1669,5.47,7.5,5.9211,-0.6868,2941.3994,-10.0543,-0.6868,-8.04344,0.9375,0.84,0.8839,0.4732,0.15,0.7011,S2,Crecimiento,Moderada
2017-02,M01,Agropecuario,8.7912,5.18,7.4821,0.186,-3.2165,2879.5668,-14.1698,-3.2165,-11.335840000000001,0.9018,0.45,0.9554,0.4821,0.08,0.6686,S2,Crecimiento,Moderada
2017-03,M01,Agropecuario,8.7556,4.69,7.2097,8.8086,-2.3024,2942.2861,-5.9609,-2.3024,-4.76872,0.8929,0.92,0.9286,0.5,0.21,0.7328,S2,Crecimiento,Moderada
2017-04,M01,Agropecuario,3.2602,4.66,7.0,2.5921,-3.6309,2877.8217,-3.9999,-3.6309,-3.19992,0.5714,0.64,0.9732,0.5089,0.25,0.6728,S2,Crecimiento,Moderada
2017-05,M01,Agropecuario,8.4563,4.37,6.5,11.2617,-6.2575,2923.6129,-2.3349,-6.2575,-1.8679200000000002,0.875,0.98,0.9821,0.5357,0.31,0.7737,S2,Crecimiento,Moderada
2017-06,M01,Agropecuario,13.0757,3.99,6.25,2.1393,-7.6784,2957.0983,-1.1949,-7.6784,-0.9559200000000001,0.9643,0.6,0.9911,0.5536,0.35,0.748,S2,Crecimiento,Moderada
2017-07,M01,Agropecuario,15.0266,3.4,5.7661,7.9785,-8.3229,3036.5839,2.5527,-8.3229,2.0421600000000004,0.9911,0.89,1.0,0.5893,0.49,0.8122,S1,Aceleración,Baja
2017-08,M01,Agropecuario,1.6353,3.87,5.5,2.2756,-1.1821,2973.2048,0.6922,-1.1821,0.55376,0.3571,0.61,0.8929,0.6161,0.46,0.6626,S2,Crecimiento,Moderada
2017-09,M01,Agropecuario,2.5543,3.97,5.25,9.9304,-1.3344,2917.085,-0.2455,-1.3344,-0.19640000000000002,0.5089,0.95,0.9107,0.625,0.41,0.7335,S2,Crecimiento,Moderada
2017-10,M01,Agropecuario,1.8507,4.05,5.2339,2.9856,-0.3431,2953.7558,0.8318,-0.3431,0.66544,0.3839,0.68,0.875,0.6339,0.47,0.6763,S2,Crecimiento,Moderada
2017-11,M01,Agropecuario,-1.8499,4.12,4.9667,8.2882,0.3249,3013.4667,-3.112,0.3249,-2.4896000000000003,0.1429,0.91,0.8304,0.6607,0.29,0.6585,S2,Crecimiento,Moderada
2017-12,M01,Agropecuario,-1.3412,4.09,4.75,3.8593,0.865,2991.7619,-0.6014,0.865,-0.48112000000000005,0.1607,0.74,0.8036,0.6786,0.38,0.6412,S2,Crecimiento,Moderada
