fecha,TRM,TRM_Var,Tasa,Flujos_Financieros,Tasa_Var,Volatilidad_TRM,Volatilidad_Tasa,Score_Riesgo,Riesgo_Label,Prob_Crisis,Regimen,Alerta,Periodo
2015-01,2397.2581,,4.5,2.28,0.0,,,0.2377,0,0.5,0,AMARILLA,2015-01-01
2015-02,2420.6725,,4.5,2.28,0.0,,,0.2377,0,0.101906,0,VERDE,2015-02-01
2015-03,2585.3623,,4.5,2.28,0.0,4.1201,0.0,0.2377,0,0.101412,0,VERDE,2015-03-01
2015-04,2505.248,,4.5,2.28,0.0,2.949,0.0,0.2377,0,0.101482,0,VERDE,2015-04-01
2015-05,2437.5352,,4.5,2.28,0.0,2.4517,0.0,0.2377,0,0.093638,0,VERDE,2015-05-01
2015-06,2562.4777,,4.5,2.28,0.0,2.2599,0.0,0.2377,0,0.089419,0,VERDE,2015-06-01
2015-07,2732.0358,,4.5,2.28,0.0,2.3374,0.0,0.2377,0,0.088609,0,VERDE,2015-07-01
2015-08,3012.5874,,4.5,2.28,0.0,2.7923,0.0,0.2377,0,0.088783,0,VERDE,2015-08-01
2015-09,3066.408,,4.525,2.28,0.025,3.1491,0.0102,0.2436,0,0.822599,1,ROJA,2015-09-01
2015-10,2929.4723,,4.75,2.28,0.225,3.0373,0.0904,0.2912,0,0.839675,1,ROJA,2015-10-01
2015-11,3001.3763,,5.225,2.28,0.475,3.0789,0.1946,0.3627,0,0.843365,1,ROJA,2015-11-01
2015-12,3244.2016,,5.5887,2.28,0.3637,3.3093,0.2057,0.3868,1,0.845582,1,ROJA,2015-12-01
2016-01,3270.1952,36.414,5.75,2.28,0.1613,3.7756,0.187,0.387,1,0.875593,1,ROJA,2016-01-01
2016-02,3354.9569,38.5961,6.069,2.28,0.319,2.6089,0.1591,0.3915,1,0.877341,1,ROJA,2016-02-01
2016-03,3128.789,21.0194,6.3306,2.28,0.2616,2.7874,0.1108,0.3838,0,0.879097,1,ROJA,2016-03-01
2016-04,2997.727,19.6579,6.5,2.28,0.1694,2.7842,0.1203,0.397,1,0.878863,1,ROJA,2016-04-01
2016-05,2993.5084,22.8088,6.9919,2.28,0.4919,3.1951,0.1256,0.4253,1,0.88876,2,ROJA,2016-05-01
2016-06,2992.8587,16.7955,7.3167,2.28,0.3248,2.6608,0.1222,0.4409,1,0.88936,2,ROJA,2016-06-01
2016-07,2960.9997,8.3807,7.5,2.28,0.1833,2.6309,0.1179,0.4487,1,0.920201,2,ROJA,2016-07-01
2016-08,2952.7668,-1.9857,7.75,2.28,0.25,2.7731,0.1181,0.462,1,0.876462,2,ROJA,2016-08-01
2016-09,2924.2653,-4.6355,7.75,2.28,0.0,1.5696,0.1652,0.483,1,0.866716,1,ROJA,2016-09-01
2016-10,2929.3887,-0.0029,7.75,2.28,0.0,0.4532,0.1914,0.4946,1,0.86673,1,ROJA,2016-10-01
2016-11,3110.2587,3.6277,7.75,2.28,0.0,2.3555,0.1455,0.4742,1,0.866848,1,ROJA,2016-11-01
2016-12,3009.8639,-7.2233,7.6452,2.28,-0.1048,2.3312,0.1085,0.4522,1,0.857248,1,ROJA,2016-12-01
2017-01,2941.3994,-10.0543,7.5,2.28,-0.1452,2.288,0.1029,0.442,1,0.85785,1,ROJA,2017-01-01
2017-02,2879.5668,-14.1698,7.4821,2.28,-0.0179,2.0975,0.0639,0.4237,1,0.854496,1,ROJA,2017-02-01
2017-03,2942.2861,-5.9609,7.2097,2.28,-0.2724,1.9766,0.1076,0.4288,1,0.851273,1,ROJA,2017-03-01
2017-04,2877.8217,-3.9999,7.0,2.28,-0.2097,1.5992,0.1066,0.4173,1,0.85013,1,ROJA,2017-04-01
2017-05,2923.6129,-2.3349,6.5,2.28,-0.5,0.533,0.1674,0.4179,1,0.848224,1,ROJA,2017-05-01
2017-06,2957.0983,-1.1949,6.25,2.28,-0.25,0.4488,0.1598,0.4013,1,0.812718,0,ROJA,2017-06-01
2017-07,3036.5839,2.5527,5.7661,2.28,-0.4839,0.5381,0.1812,0.3853,1,0.797273,0,ROJA,2017-07-01
2017-08,2973.2048,0.6922,5.5,2.28,-0.2661,0.5375,0.1272,0.3472,0,0.813707,0,ROJA,2017-08-01
2017-09,2917.085,-0.2455,5.25,2.28,-0.25,0.5291,0.1295,0.335,0,0.822453,1,ROJA,2017-09-01
2017-10,2953.7558,0.8318,5.2339,2.28,-0.0161,0.5731,0.1791,0.3562,0,0.823545,1,ROJA,2017-10-01
2017-11,3013.4667,-3.112,4.9667,2.28,-0.2672,0.5722,0.1482,0.3284,0,0.822149,1,ROJA,2017-11-01
2017-12,2991.7619,-0.6014,4.75,2.28,-0.2167,0.6907,0.1491,0.3173,0,0.821054,0,ROJA,2017-12-01
2018-01,2868.5723,-2.4759,4.7339,2.28,-0.0161,1.157,0.1222,0.3045,0,0.815733,0,ROJA,2018-01-01
2018-02,2860.2529,-0.6707,4.5,2.28,-0.2339,1.351,0.1178,0.2902,0,0.787582,0,ROJA,2018-02-01
2018-03,2847.9306,-3.2069,4.5,2.28,0.0,1.4418,0.1264,0.294,0,0.645624,0,AMARILLA,2018-03-01
2018-04,2766.285,-3.8757,4.4917,2.28,-0.0083,1.54,0.1277,0.2941,0,0.646154,0,AMARILLA,2018-04-01
2018-05,2861.8258,-2.1134,4.25,2.28,-0.2417,1.6953,0.1223,0.279,0,0.254713,0,VERDE,2018-05-01
2018-06,2889.689,-2.2796,4.25,2.28,0.0,1.6605,0.1198,0.2779,0,0.256159,0,VERDE,2018-06-01
2018-07,2885.3219,-4.9813,4.25,2.28,0.0,1.4334,0.1218,0.2787,0,0.167057,0,VERDE,2018-07-01
2018-08,2958.6668,-0.489,4.25,2.28,0.0,1.3911,0.0981,0.2682,0,0.164638,0,VERDE,2018-08-01
2018-09,3033.768,4.0,4.25,2.28,0.0,1.2549,0.0981,0.2682,0,0.164622,0,VERDE,2018-09-01
2018-10,3084.831,4.4376,4.25,2.28,0.0,1.1998,0.0987,0.2685,0,0.164497,0,VERDE,2018-10-01
2018-11,3194.0343,5.992,4.25,2.28,0.0,1.2225,0.0,0.2245,0,0.162555,0,VERDE,2018-11-01
2018-12,3218.551,7.5805,4.25,2.28,0.0,1.2563,0.0,0.2245,0,0.154175,0,VERDE,2018-12-01
2019-01,3165.1881,10.3402,4.25,2.28,0.0,0.9595,0.0,0.2245,0,0.145711,0,VERDE,2019-01-01
2019-02,3115.8386,8.9358,4.25,2.28,0.0,0.9572,0.0,0.2245,0,0.124433,0,VERDE,2019-02-01
2019-03,3128.6842,9.8582,4.25,2.28,0.0,1.0844,0.0,0.2245,0,0.128135,0,VERDE,2019-03-01
2019-04,3155.765,14.0795,4.25,2.28,0.0,1.123,0.0,0.2245,0,0.126988,0,VERDE,2019-04-01
2019-05,3304.4945,15.4681,4.25,2.28,0.0,1.5694,0.0,0.2245,0,0.099907,0,VERDE,2019-05-01
2019-06,3260.517,12.8328,4.25,2.28,0.0,1.5213,0.0,0.2245,0,0.10087,0,VERDE,2019-06-01
2019-07,3206.6003,11.1349,4.25,2.28,0.0,1.5213,0.0,0.2245,0,0.095056,0,VERDE,2019-07-01
2019-08,3410.729,15.2793,4.25,2.28,0.0,2.4057,0.0,0.2245,0,0.096465,0,VERDE,2019-08-01
2019-09,3399.457,12.054,4.25,2.28,0.0,2.4204,0.0,0.2245,0,0.091351,0,VERDE,2019-09-01
2019-10,3433.3116,11.2966,4.25,2.28,0.0,2.4029,0.0,0.2245,0,0.089782,0,VERDE,2019-10-01
2019-11,3401.473,6.4946,4.25,2.28,0.0,2.2158,0.0,0.2245,0,0.073369,0,VERDE,2019-11-01
2019-12,3378.0506,4.9556,4.25,2.28,0.0,2.2657,0.0,0.2245,0,0.072826,0,VERDE,2019-12-01
2020-01,3311.1894,4.6127,4.25,2.28,0.0,2.2646,0.0,0.2245,0,0.048898,0,VERDE,2020-01-01
2020-02,3411.0528,9.4746,4.25,2.28,0.0,0.9948,0.0,0.2245,0,0.047138,0,VERDE,2020-02-01
2020-03,3877.0484,23.9195,4.2177,2.28,-0.0323,5.0315,0.0132,0.2287,0,0.997415,0,ROJA,2020-03-01
2020-04,3977.3933,26.0358,3.75,2.28,-0.4677,4.9107,0.1887,0.2821,0,0.997313,0,ROJA,2020-04-01
2020-05,3858.1916,16.7559,3.2984,2.28,-0.4516,4.7374,0.2336,0.2782,0,0.995168,0,ROJA,2020-05-01
2020-06,3701.6043,13.5281,2.75,2.28,-0.5484,4.4343,0.2644,0.263,0,0.994482,0,ROJA,2020-06-01
2020-07,3657.8668,14.0731,2.5,2.28,-0.25,4.5434,0.2352,0.2368,0,0.994477,0,ROJA,2020-07-01
2020-08,3783.0258,10.9155,2.2661,2.28,-0.2339,4.5183,0.1927,0.2055,0,0.994372,0,ROJA,2020-08-01
2020-09,3750.2153,10.3181,1.975,2.28,-0.2911,1.2598,0.132,0.1631,0,0.994237,0,ROJA,2020-09-01
2020-10,3833.7884,11.6644,1.75,2.28,-0.225,1.2644,0.1346,0.1524,0,0.993967,0,ROJA,2020-10-01
2020-11,3685.6267,8.3538,1.75,2.28,0.0,1.3823,0.1753,0.1705,0,0.993865,0,ROJA,2020-11-01
2020-12,3466.1271,2.6073,1.75,2.28,0.0,1.9012,0.1311,0.1508,0,0.986297,0,ROJA,2020-12-01
2021-01,3491.3216,5.4401,1.75,2.28,0.0,1.9913,0.1388,0.1542,0,0.986278,0,ROJA,2021-01-01
2021-02,3554.5043,4.2055,1.75,2.28,0.0,2.0064,0.1349,0.1525,0,0.987101,0,ROJA,2021-02-01
2021-03,3612.7684,-6.8165,1.75,2.28,0.0,1.8968,0.0919,0.1334,0,0.090839,0,VERDE,2021-03-01
2021-04,3650.776,-8.2118,1.75,2.28,0.0,2.013,0.0,0.0925,0,0.003968,0,VERDE,2021-04-01
2021-05,3735.6661,-3.1757,1.75,2.28,0.0,1.9005,0.0,0.0925,0,0.008773,0,VERDE,2021-05-01
2021-06,3685.0427,-0.4474,1.75,2.28,0.0,0.5682,0.0,0.0925,0,0.00792,0,VERDE,2021-06-01
2021-07,3829.4181,4.6899,1.75,2.28,0.0,1.026,0.0,0.0925,0,0.008048,0,VERDE,2021-07-01
2021-08,3881.1835,2.5947,1.75,2.28,0.0,1.0609,0.0,0.0925,0,0.008844,0,VERDE,2021-08-01
2021-09,3821.5377,1.9018,1.75,2.28,0.0,1.0675,0.0,0.0925,0,0.0022,0,VERDE,2021-09-01
2021-10,3773.3842,-1.5756,2.0,2.28,0.25,1.0365,0.1021,0.1511,0,0.002364,0,VERDE,2021-10-01
2021-11,3902.901,5.8952,2.4833,2.28,0.4833,1.2005,0.2032,0.2217,0,0.002428,0,VERDE,2021-11-01
2021-12,3963.1335,14.339,2.6935,2.28,0.2102,1.1781,0.1959,0.2295,0,0.00274,0,VERDE,2021-12-01
2022-01,3999.6161,14.5588,3.0323,2.28,0.3388,0.8911,0.1903,0.2449,0,0.002692,0,VERDE,2022-01-01
2022-02,3935.8357,10.7281,4.0,2.28,0.9677,0.879,0.331,0.3587,0,0.002755,0,VERDE,2022-02-01
